﻿編號,行政區,機構類別,合約醫療院所名稱,連絡電話,地址
26,北屯區四民,合約醫療院所,佑康診所,(04)22923922,臺中市北屯區中清路二段586號
27,北屯區四民,合約醫療院所,中清診所,(04)22919259,臺中市北屯區中清路二段433號
28,北屯區四民,合約醫療院所,愛兒診所,(04)22472837,臺中市北屯區昌平路二段1之2號
29,北屯區四民,合約醫療院所,昆海診所,(04)22925045,臺中市北屯區中清路二段268號
30,北屯區四民,合約醫療院所,永安水湳診所,(04)22959666,臺中市北屯區中清路二段519號
31,北屯區軍功,衛生所,臺中市北屯區軍功衛生所,(04)22392638,臺中市北屯區軍功路二段16號
32,北屯區軍功,合約醫療院所,大源診所,(04)22415463,臺中市北屯區興安路一段335號
33,北屯區軍功,合約醫療院所,仁安診所,(04)24392109,臺中市北屯區部子路327號
34,北屯區軍功,合約醫療院所,仁曜診所,(04)24376568,臺中市北屯區景賢路196號1.2樓
35,北屯區軍功,合約醫療院所,幼恩小兒科診所,(04)24376238,臺中市北屯區東山路一段298-2號1.2F
36,北屯區軍功,合約醫療院所,陳茂庭外婦科診所,(04)22352233,臺中市北屯區昌平路一段86號
37,北屯區軍功,合約醫療院所,北屯誠心診所（誠光耳鼻喉科),(04)22335220,臺中市北屯區北屯路222號
38,北屯區軍功,合約醫療院所,弘光診所,(04)24360305,臺中市北屯區東山路一段308號
39,北屯區軍功,合約醫療院所,東山家庭醫學科診所,(04)24360305,臺中市北屯區東山路一段308號
40,北屯區軍功,合約醫療院所,光馨家庭醫學科診所,(04)22341479,臺中市北屯區北屯路385號
41,北屯區軍功,合約醫療院所,昌平診所,(04)22472050,臺中市北屯區昌平路一段105號3樓
42,北屯區軍功,合約醫療院所,維民診所,(04)24350198,臺中市北屯區太順路112號2樓
43,北屯區軍功,合約醫療院所,安安診所,(04)22304309,臺中市北屯區北屯路299-4號1F
44,北屯區軍功,合約醫療院所,承安耳鼻喉科診所,(04)22425252,臺中市北屯區北屯路441號
45,北屯區軍功,合約醫療院所,承康診所,(04)24377838,臺中市北屯區東山路一段300-1號
46,北屯區軍功,合約醫療院所,芳鄰診所,(04)24371433,臺中市北屯區東山路一段240號
47,北屯區軍功,合約醫療院所,京冠診所,(04)22471166,臺中市北屯區崇德路二段252號
49,北屯區軍功,合約醫療院所,家興禾樂診所,(04)24364897,臺中市北屯區東山路一段332-13號
50,北屯區軍功,合約醫療院所,陳憲立小兒科診所,(04)22335878,臺中市北屯區昌平路一段42號
51,北屯區軍功,合約醫療院所,許明正婦產科診所,(04)22379191,臺中市北屯區文心路四段750號
52,北屯區軍功,合約醫療院所,鼎好聯合診所,(04)24378437,臺中市北屯區軍功路一段511號
53,北屯區軍功,合約醫療院所,榮曜診所,(04)22387838,臺中市北屯區北屯路409之43號4樓之1
54,北屯區軍功,合約醫療院所,劉安耳鼻喉科診所,(04)24362788,臺中市北屯東山路一段225-2號
55,北屯區軍功,合約醫療院所,謝東運耳鼻喉科診所,(04)24376608,臺中市北屯區軍功路一段487-1號
56,北屯區軍功,合約醫療院所,小森林診所,(04)22476567,臺中市北屯區大連路二段223號
57,北屯區軍功,合約醫療院所,林士聰小兒科診所,(04)22410390,臺中市北屯區大連路二段231號一樓
58,北屯區軍功,合約醫療院所,方德涵小兒科診所,(04)24369555,臺中市北屯區太順路82號
59,北屯區軍功,合約醫療院所,寶存家庭醫學科診所,(04)22375851,臺中市北屯區青島路四段130號
60,北屯區軍功,合約醫療院所,吳明峰診所,(04)22368389,臺中市北屯區青島路四段19號
61,北屯區軍功,合約醫療院所,輝佑診所,(04)24376238,臺中市東山路一段298-2號1.2F
62,北屯區軍功,合約醫療院所,康康診所,(04)22461925,臺中市北屯區北屯路428-3號
63,北屯區軍功,合約醫療院所,優幼診所,(04)22493636,臺中市北屯區北屯路435-16號
64,北屯區軍功,合約醫療院所,茂盛醫院,(04)22347057,臺中市北屯區昌平路一段30-6號
65,北屯區軍功,合約醫療院所,楊醫師小兒科診所,(04)22430092,臺中市北屯區昌平路一段356-1號
66,北屯區軍功,合約醫療院所,蘇游耳鼻喉科診所,(04)22462420,臺中市北屯區昌平路一段99之3號
67,北屯區軍功,合約醫療院所,聯安醫院,(04)22441995,臺中市北屯區東山路一段37號
68,北屯區軍功,合約醫療院所,李彥德耳鼻喉科診所,(04)24373125,臺中市北屯區軍功路一段732號
69,北屯區軍功,合約醫療院所,林育民診所,(04)22317459,臺中市北屯區熱河路二段57號
70,北屯區軍功,合約醫療院所,和生診所,(04)22474788,臺中市北屯區興安路一段320號
71,北屯區軍功,合約醫療院所,鎧緯耳鼻喉科診所,(04)24369187,臺中市北屯區景賢路276號
72,北屯區軍功,合約醫療院所,寶健耳鼻喉科診所,(04)24369053,臺中市北屯區東山路一段216之23號
73,北屯區軍功,合約醫療院所,瑞健診所,(04)22416859,臺中市北屯區興安路一段341號
74,西屯區,衛生所,臺中市西屯區衛生所,(04)27027068,臺中市西屯區西屯路二段299號
75,西屯區,合約醫療院所,佑家親子診所,(04)27086866,臺中市西屯區青海路二段242之31號
76,西屯區,合約醫療院所,崇芳小兒科家庭醫學科聯合診所,(04)24652525,臺中市西屯區福科路419號
77,西屯區,合約醫療院所,平安診所,(04)23277206,臺中市西屯區大墩路917-1號
78,西屯區,合約醫療院所,榛果耳鼻喉科,(04)23104668,臺中市西屯區東興路三段379號
79,西屯區,合約醫療院所,辛隆士家醫科診所,(04)23284798,臺中市西屯區東興路三段369號
80,西屯區,合約醫療院所,東榮診所,(04)23583769,臺中市西屯區中工三路78號
81,西屯區,合約醫療院所,澄清綜合醫院中港院區,(04)24632000,臺中市西屯區臺灣大道四段966號
82,西屯區,合約醫療院所,佑兒診所,(04)23205177,臺中市西屯區大墩路887號
83,西屯區,合約醫療院所,漢諾威家庭醫學科診所,(04)23173069,臺中市西屯區青海路一段112號
84,西屯區,合約醫療院所,林婦產科診所,(04)24514639,臺中市西屯區河南路二段420號
85,西屯區,合約醫療院所,陳建富內科診所,(04)22552098,臺中市西屯區黎明路二段751號
86,西屯區,合約醫療院所,義鈜診所,(04)24617000,臺中市西屯區安和路166號
87,西屯區,合約醫療院所,和德診所,(04)23151156,臺中市西屯區西屯路二段100-18號
88,西屯區,合約醫療院所,陳亮宇耳鼻喉科診所,(04)23203888,臺中市西屯區大墩路995號
89,西屯區,合約醫療院所,溢恩診所,(04)24616186,臺中市西屯區西屯路三段166-12號
90,西屯區,合約醫療院所,裕仁診所,(04)23199791,臺中市西屯區大墩十九街208-2號
91,西屯區,合約醫療院所,長泓診所,(04)23582866,臺中市西屯區中工3路65號
92,西屯區,合約醫療院所,楊朝弘診所,(04)23169555,臺中市西屯區大信街50號1/2F
93,西屯區,合約醫療院所,大業診所,02-22590277,臺中市西屯區河南路四段195號
94,西屯區,合約醫療院所,安家小兒科診所,(04)22952020,臺中市西屯區大鵬路9號
95,西屯區,合約醫療院所,舒民診所,(04)24529690,臺中市西屯區福科二路8號
96,西屯區,合約醫療院所,懷生小兒科診所,(04)23176257,臺中市西屯區忠義街102號
97,西屯區,合約醫療院所,福茂小兒科診所,(04)24518758,臺中市西屯區西屯路二段273之l號
98,西屯區,合約醫療院所,陳俊宏小兒科診所,(04)23146466,臺中市西屯區青海路一段3-3號
99,西屯區,合約醫療院所,理想家小兒科診所,(04)24618096,臺中市西屯區福雅路73號
100,西屯區,合約醫療院所,佳禾診所,(04)24630596,臺中市西屯區福安路5號
101,西屯區,合約醫療院所,佳慶診所,(04)23208989,臺中市西屯區大墩十九街87號
102,西屯區,合約醫療院所,永群診所,(04)24651235,臺中市西屯路三段166-27號
103,西屯區,合約醫療院所,廖重佳內科診所,(04)23552178,臺中市西屯區福中二街8號
104,西屯區,合約醫療院所,何茂霖小兒科診所,(04)24528833,臺中市西屯區福星路2之1號
105,西屯區,合約醫療院所,瑞安診所,(04)24633530,臺中市西屯區福科路946號
106,西屯區,合約醫療院所,丞右診所,(04)23160001,臺中市西屯區華美西街二段351號
107,西屯區,合約醫療院所,福瑞診所,(04)24637728,臺中市西屯區福泰東路51號
108,西屯區,合約醫療院所,翁耳鼻喉科診所,(04)24526346,臺中市西屯區青海路二段209-3號
109,西屯區,合約醫療院所,曾曉鐘小兒科診所,(04)27036888,臺中市西屯區河南路二段496號
110,西屯區,合約醫療院所,傑安內科診所,(04)24516322,臺中市西屯區河南路二段246號
111,西屯區,合約醫療院所,吉安診所,(04)23135698,臺中市西屯區青海路一段65-2號
112,西屯區,合約醫療院所,禾馨安和婦幼診所,(04)23585333,臺中市西屯區安和路118-18號
113,西屯區,合約醫療院所,臺中榮民總醫院,(04)23592525,臺中市西屯區臺灣大道4段1650號
114,西屯區,合約醫療院所,世民小兒科診所,(04)27083456,臺中市西屯區河南路2段411、413號
115,西屯區,合約醫療院所,祥威耳鼻喉科兒科診所,(04)27000132,臺中市西屯區青海路二段240之8號
116,西屯區,合約醫療院所,醫鄰職業醫學科診所,(04)24525747,臺中市西屯區黎明路三段391號
117,西屯區,合約醫療院所,和賢耳鼻喉科診所,(04)24261802,臺中市西屯區中清路二段1386巷23號
118,西屯區,合約醫療院所,幼光診所,(04)24615033,臺中市西屯區玉門路478號
119,西屯區,合約醫療院所,福安耳鼻喉科,(04)24650233,臺中市西屯區西屯路三段153-2號
120,西屯區,合約醫療院所,陳永忠小兒科診所,(04)24619339,臺中市西屯區西屯路三段159-68號
121,西屯區,合約醫療院所,三和診所,(04)23157982,臺中市西屯區甘肅路一段78號
122,西屯區,合約醫療院所,奇譽耳鼻喉科診所,(04)24523939,臺中市西屯區西屯路二段255號
123,西屯區,合約醫療院所,大道診所,(04)23122060,臺中市西屯區文心路三段61-7號
124,西屯區,合約醫療院所,歐葉診所,(04)24611216,臺中市西屯區福科路507號
125,西屯區,合約醫療院所,蘇家龍診所,(04)27085151,臺中市西屯區黎明路三段421號
126,西屯區,合約醫療院所,禾蓮診所,(04)24529685,臺中市西屯區逢甲路162-5號2F
127,西屯區,合約醫療院所,澄清復健醫院,(04)24612366,臺中市西屯區敬德街8之1號
128,南屯區,衛生所,臺中市南屯區衛生所,(04)23827640,臺中市南屯區向心南路811號1樓
129,南屯區,合約醫療院所,法務部矯正署臺中監獄附設培德醫院,(04)23814169,臺中市南屯區培德路9號
130,南屯區,合約醫療院所,林新醫療社團法人林新醫院,(04)22586688,臺中市南屯區惠中路三段36號
131,南屯區,合約醫療院所,醫療財團法人正德癌症醫療基金會佛教正德醫院,(04)37026588,臺中市南屯區文心南五路三段100號
132,南屯區,合約醫療院所,加寧診所,(04)22587087,臺中市南屯區河南路四段393號1、2樓
133,南屯區,合約醫療院所,媽媽咪亞診所,(04)23190707,臺中市南屯區公益路二段60號1樓
134,南屯區,合約醫療院所,薛凱中診所,(04)24716898,臺中市南屯區大墩路383號1樓
135,南屯區,合約醫療院所,佳鴻診所,(04)24739868,臺中市南屯區文心南2路229號1樓
136,南屯區,合約醫療院所,邢志宇耳鼻喉科診所,(04)24735806,臺中市南屯區南屯路二段252號1樓、2樓
137,南屯區,合約醫療院所,忠勇診所,(04)23826625,臺中市南屯區忠勇路67之3號1樓、2樓
138,南屯區,合約醫療院所,仁欣診所,(04)23803265,臺中市南屯區黎明東街229號1樓
139,南屯區,合約醫療院所,敬康耳鼻喉科診所,(04)23282070,臺中市南屯區大業路229號1樓
140,南屯區,合約醫療院所,大容診所,(04)23288521,臺中市南屯區大容東街14號1、2樓
141,南屯區,合約醫療院所,宏凱診所,(04)23802778,臺中市南屯區忠勇路79之3號1樓
142,南屯區,合約醫療院所,誠心兒科診所,(04)24719001,臺中市南屯區東興路二段33號1、2樓
143,南屯區,合約醫療院所,郭品君診所,(04)23817333,臺中市南屯區黎明路一段1059、1061號一樓
144,南屯區,合約醫療院所,明道小兒科診所,(04)23845795,臺中市南屯區向心南路933號
145,南屯區,合約醫療院所,李漢亮小兒科診所,(04)23851435,臺中市南屯區忠勇路41之3號
146,南屯區,合約醫療院所,張家強診所,(04)22591683,臺中市南屯區黎明路二段490號1樓
147,南屯區,合約醫療院所,親子診所,(04)23862626,臺中市南屯區黎明路一段1091號
148,南屯區,合約醫療院所,蘇德慶診所,(04)24717572,臺中市南屯區東興路二段57號一樓
149,南屯區,合約醫療院所,施勝桓小兒科診所,(04)22581985,臺中市南屯區黎明路二段286號1樓、2樓
150,南屯區,合約醫療院所,葉晉榮診所,(04)23869209,臺中市南屯區忠勇路70之9號
151,南屯區,合約醫療院所,董建宗小兒科診所,(04)23203873,臺中市南屯區大墩路508號一樓
152,南屯區,合約醫療院所,賴東昇小兒科診所,(04)23280188,臺中市南屯區大業路93號一樓
153,南屯區,合約醫療院所,汪小兒科診所,(04)23811388,臺中市南屯區黎明路二段15號1樓
154,南屯區,合約醫療院所,林俊彥小兒科診所,(04)24702058,臺中市南屯區黎明路一段229號一樓
155,南屯區,合約醫療院所,寶貝熊小兒科診所,(04)22517622,臺中市南屯區公益路二段362、366號一樓
156,南屯區,合約醫療院所,姚耳鼻喉科診所,(04)23850089,臺中市南屯區忠勇路25-6號1樓
157,南屯區,合約醫療院所,張文吉小兒科診所,(04)24724988,臺中市南屯區向上南路1段273號1樓
158,南屯區,合約醫療院所,林子凱耳鼻喉科診所,(04)23105758,臺中市南屯區公益路二段19號1樓
159,南屯區,合約醫療院所,小熊小兒科診所,(04)24759999,臺中市南屯區向上南路1段179號1樓
160,南屯區,合約醫療院所,幼安診所,(04)24751579,臺中市南屯區大墩路263號1、2樓
161,南屯區,合約醫療院所,閤安診所,(04)24792800,臺中市南屯區楓和路691號1樓
162,南屯區,合約醫療院所,周省村診所,(04)24723316,臺中市南屯區東興路二段42號1樓
163,南屯區,合約醫療院所,瑞東診所,(04)23892301,臺中市南屯區文山三街133巷11號1、2、3、4、5樓
164,南屯區,合約醫療院所,康普頓診所,(04)23226766,臺中市南屯區向上路一段658號1樓、2樓
165,南屯區,合約醫療院所,主悅診所,(04)22540711,臺中市南屯區干城街269號1樓
166,南屯區,合約醫療院所,鄭盛源耳鼻喉科診所,(04)22512513,臺中市南屯區黎明東街151號1樓
167,南屯區,合約醫療院所,佳杏診所,(04)24716016,臺中市南屯區大墩五街292號1樓
168,南屯區,合約醫療院所,祥威黎明耳鼻喉科兒科診所,(04)22541898,臺中市南屯區黎明路二段446號1樓及夾層
169,南屯區,合約醫療院所,英宏診所,(04)24735729,臺中市南屯區豐富路312號1樓
170,南屯區,合約醫療院所,辰光診所,(04)24796767,臺中市南屯區黎明路一段154號1、2樓
171,南屯區,合約醫療院所,優康家診所,(04)22528787,臺中市南屯區永春東七路889號1樓
172,南屯區,合約醫療院所,姜封豪診所,(04)23808897,臺中市南屯區永春東七路837號1樓
173,南屯區,合約醫療院所,文良診所,(04)23897192,臺中市南屯區黎明路一段1139號
174,南屯區,合約醫療院所,偉宏診所,(04)23827629,臺中市南屯區黎明路一段1110號
175,南屯區,合約醫療院所,華生診所,(04)22556622,臺中市南屯區黎明路二段496號
176,南屯區,合約醫療院所,王欽耀診所,(04)23832245,臺中市南屯區忠勇路43-2號1、2樓
177,南屯區,合約醫療院所,蘇晉暉診所,(04)23832676,臺中市南屯區向心路35號
178,南屯區,合約醫療院所,維信華信聯合門診維信小兒科診所,(04)23200692,臺中市南屯區大墩路471號一樓
179,南屯區,合約醫療院所,張宏興診所,(04)22530378,臺中市南屯區黎明路二段四60號一樓
180,南屯區,合約醫療院所,昱宏診所,(04)23205346,臺中市南屯區大隆路119號一樓
181,南屯區,合約醫療院所,益康診所,(04)24727678,臺中市南屯區向上南路一段343號一、二樓
182,南屯區,合約醫療院所,永安診所,(04)22588881,臺中市南屯區公益路二段696號1、2樓
183,南屯區,合約醫療院所,祥恩診所,(04)24717699,臺中市南屯區大墩路321號一樓、二樓
184,南屯區,合約醫療院所,大墩診所,(04)24717122,臺中市南屯區大墩路96號1、2樓
185,南屯區,合約醫療院所,鄭元凱耳鼻喉科診所,(04)22513500,臺中市南屯區河南路四段376號2樓
186,南屯區,合約醫療院所,先進診所,(04)23862433,臺中市南屯區永春東路878號1樓
187,南屯區,合約醫療院所,黎明誠心診所,(04)23891195,臺中市南屯區黎明路一段1039號1、2樓
188,南屯區,合約醫療院所,陳豐霖診所,(04)24711386,臺中市南屯區五權西路二段197號1樓
189,北區,衛生所,臺中市北區衛生所,(04)22359182,臺中市北區永興街301號4樓
190,北區,合約醫療院所,中國醫藥大學兒童醫院,(04)22052121,臺中市北區學士路95號
191,北區,合約醫療院所,國軍臺中總醫院中清分院附設民眾診療服務處,(04)22033178,臺中市北區忠明路500號
192,北區,合約醫療院所,新亞東婦產科醫院,(04)22075779,臺中市北區中清路一段403號
193,北區,合約醫療院所,正馨婦產科診所,(04)22933899,臺中市北區中清路一段820號
194,北區,合約醫療院所,天行健診所,(04)22352112,臺中市北區健行路321號
195,北區,合約醫療院所,家家診所,(04)22333333,臺中市北區三民路三段291巷24號1F
196,北區,合約醫療院所,太原診所,(04)22064565,臺中市北區太原路一段532號3樓
197,北區,合約醫療院所,巧比小兒科診所,(04)22957373,臺中市北區北平路二段43號
198,北區,合約醫療院所,祐華親子診所,(04)22925668,臺中市北區北平路2段194號
199,北區,合約醫療院所,陳正豊內科診所,(04)22955085,臺中市北區北平路二段80號
200,北區,合約醫療院所,仟順診所,(04)22316600,臺中市北區崇德路一段502號
201,北區,合約醫療院所,中國醫藥大學附設醫院,(04)22052121,臺中市北區育德路2號
202,北區,合約醫療院所,臺安醫院雙十分院,(04)22268990,臺中市北區雙十路二段29號
203,北區,合約醫療院所,勝美醫院,(04)22013333,臺中市北區五權路482號
204,北區,合約醫療院所,文冠內科診所,(04)22080199,臺中市北區學士路255號5樓
205,北區,合約醫療院所,江坤燦小兒科診所,(04)22339598,"臺中市北區進化北路118巷51,53號"
206,北區,合約醫療院所,台中家幼診所,(04)22315588,臺中市北區進化北路96號
207,北區,合約醫療院所,祥祐診所,(04)22315688,臺中市北區三民路三段348號
208,北區,合約醫療院所,光恒診所,(04)22068638,臺中市北區五權路261號1樓
209,北區,合約醫療院所,郭耳鼻喉科診所,(04)22054863,臺中市北區健行路594號
210,北區,合約醫療院所,吳英偉診所,(04)22052567,臺中市北區中清路一段57號1樓
211,北區,合約醫療院所,小太陽聯合診所,(04)22955656,臺中市北區漢口路三段179號1樓
212,北區,合約醫療院所,鄭俊智診所,(04)22957083,臺中市北區漢口路四段50號
213,北區,合約醫療院所,洪振民耳鼻喉科診所,(04)22976733,臺中市北區中清路一段612號
214,北區,合約醫療院所,弘安家庭醫學科診所,(04)22978068,臺中市北區天津路二段166號
215,北區,合約醫療院所,林健家庭醫學科診所,(04)22339177,臺中市北區進化路643號
216,北區,合約醫療院所,林燄小兒科診所,(04)22050512,臺中市北區健行路659號
217,北區,合約醫療院所,欣揚診所,(04)22373880,臺中市北區漢口路四段306號
218,北區,合約醫療院所,展弘耳鼻喉科診所,(04)22307388,臺中市北區漢口路4段322號
219,北區,合約醫療院所,謝佳璋小兒科,(04)22355918,臺中市北區漢口路4段300號
220,北區,合約醫療院所,施俊哲診所,(04)22067148,臺中市北區忠明路510號一樓
221,北區,合約醫療院所,陳世爵診所,(04)23296088,臺中市北區英才路386-8號
222,北區,合約醫療院所,秀慧診所,(04)22031830,臺中市北區忠太東路58之12號
223,北區,合約醫療院所,品家診所,(04)22086068,臺中市北區西屯路一段496-1號
224,北區,合約醫療院所,永旭診所,(04)22066767,臺中市北區民權路353號之1樓
225,北區,合約醫療院所,紀外科泌尿科診所,(04)22050357,臺中市北區梅亭街479號
226,北區,合約醫療院所,施永泰小兒科診所,(04)22363426,臺中市北區梅亭街200號
227,北區,合約醫療院所,呂錦泉小兒科診所,(04)22334393,臺中市北區崇德路一段119號
228,北區,合約醫療院所,慈仁診所,(04)22057398,臺中市北區五權路488-8號6樓
229,北區,合約醫療院所,耀隆診所,(04)22935200,臺中市北區陝西路27-1號
230,北區,合約醫療院所,家昌耳鼻喉科診所,(04)22993888,臺中市北區陜西路62號1樓
231,北區,合約醫療院所,承鴻耳鼻喉科診所,(04)22920000,臺中市北區中清路一段830號
232,北區,合約醫療院所,康暉耳鼻喉科,(04)22966161,臺中市北區中清路一段798號
233,北區,合約醫療院所,翔恩診所,(04)22066186,臺中市北區五權路277號
234,北區,合約醫療院所,許文俊小兒科診所,(04)22350366,臺中市北區進化北路265號
235,北區,合約醫療院所,現代診所,(04)22387387,臺中市北區進化北路163號
236,北區,合約醫療院所,詠康耳鼻喉科診所,(04)22352015,臺中市北區學士路312號
237,北區,合約醫療院所,俊霖診所,(04)22085948,臺中市北區忠明八街32號
238,北區,合約醫療院所,張右川診所,(04)22329988,臺中市北區興進路211-2號
239,西區,衛生所,臺中市中西區衛生所,(04)22223811,臺中市西區民權路105號
240,西區,合約醫療院所,衛生福利部臺中醫院,(04)22294411,臺中市西區三民路一段199號
241,西區,合約醫療院所,曙光小兒科診所,(04)23758822,臺中市西區五權西三街81號
242,西區,合約醫療院所,賴永章小兒科,(04)23714599,臺中市西區大全街41號
243,西區,合約醫療院所,蔡小兒診所,(04)23726497,臺中市西區五權路2-62號
244,西區,合約醫療院所,丁鴻志婦產科診所,(04)23207082,臺中市西區臺灣大道二段181號3樓
245,西區,合約醫療院所,阮春閔小兒科診所,(04)23757456,臺中市西區南屯路一段148號1樓
246,西區,合約醫療院所,康貝兒小兒科診所,(04)24720515,臺中市西區向上路一段553號
247,西區,合約醫療院所,王道文聯合門診王道文小兒科診所,(04)23147939,臺中市西區太原路1段38號1樓
248,西區,合約醫療院所,樂恩診所,(04)22221256,臺中市西區五權路29-8號
249,西區,合約醫療院所,劉彥山診所,(04)24726518,臺中市西區向上路一段361號
250,西區,合約醫療院所,吳東洀小兒科診所,(04)23029672,臺中市美村路一段362號
251,西區,合約醫療院所,美村婦產科診所,(04)23787212,臺中市西區美村路1段588號
252,西區,合約醫療院所,美麗兒小兒科診所,(04)23020333,臺中市西區向上路一段246號
253,西區,合約醫療院所,吳榮峰小兒科診所,(04)23108006,臺中市西區公益路1段252號
254,西區,合約醫療院所,劉義昇診所,(04)23101477,臺中市西區公益路238號
255,西區,合約醫療院所,向安診所,(04)23026182,臺中市西區忠明南路303號1樓
256,西區,合約醫療院所,蔡芬苓小兒科診所,(04)23131531,臺中市西區太原路一段212之1號
257,西區,合約醫療院所,合佳康診所,(04)23283693,臺中市西區英才路460號
258,西區,合約醫療院所,曜廷診所,(04)23012428,臺中市西區向上北路166號
259,西區,合約醫療院所,醫世紀診所,(04)23720286,臺中市西區美村路一段795號
260,西區,合約醫療院所,夏幸賢診所,(04)22227885,臺中市西區三民路一段152-3號
261,西區,合約醫療院所,維一診所,(04)23139987,臺中市西區太原路一段220號
262,西區,合約醫療院所,林森醫院,(04)22227800,臺中市西區三民路一段152-1號
263,西區,合約醫療院所,李潤宇診所,(04)23016659,臺中市西區向上路一段251號
264,西區,合約醫療院所,東平診所,(04)22224171,臺中市中區臺灣大道一段555號
265,西區,合約醫療院所,家妍診所,(04)23282888,臺中市西區美村路一段65號
266,西區,合約醫療院所,柏羽診所,(04)23255018,臺中市西區博館路115號
267,西區,合約醫療院所,雙安耳鼻喉診所,(04)23020805,臺中市西區向上路一段270號
268,西區,合約醫療院所,惠騰內科診所,0-423758851,臺中市西區三民路一段149號1F
269,中區,合約醫療院所,澄清綜合醫院,(04)24632000,臺中市中區平等路139號
270,中區,合約醫療院所,仁愛醫療財團法人台中仁愛醫院,(04)22255450,臺中市中區柳川東路3段36號
271,中區,合約醫療院所,第一醫院,(04)22221122,臺中市中區民族路184號
272,中區,合約醫療院所,新笙聯合診所,(04)22226166,臺中市中區民權路100號
273,中區,合約醫療院所,明祐耳鼻喉科診所,(04)22220007,臺中市中區民權路160號
274,南區,衛生所,臺中市南區衛生所,(04)22629735,臺中市南區南和里工學路72號2樓
275,南區,合約醫療院所,中山醫學大學附設醫院,(04)24739595,臺中市南區樹德里建國北路一段110號
276,南區,合約醫療院所,中山醫學大學附設醫院中興分院,(04)22621652,臺中市南區和平里復興路二段11號
277,南區,合約醫療院所,正安家醫科診所,(04)22637502,臺中市南區工學里高工路91號
278,南區,合約醫療院所,永佳診所,(04)22655226,臺中市南區福順里美村路二段156號1、2樓
279,南區,合約醫療院所,永和耳鼻喉科診所,(04)22617938,臺中市南區永興里工學路13-22號
280,南區,合約醫療院所,白耳鼻喉科診所,(04)22220600,臺中市南區新榮里學府路152號
281,南區,合約醫療院所,旭康診所,(04)22628008,臺中市南區樹義里復興路一段123號
282,南區,合約醫療院所,宏恩醫院,(04)22623123,臺中市南區和平里復興路2段38-13號
283,南區,合約醫療院所,李昭德診所,(04)23719977,臺中市南區西川里柳川東路一段100號1、2樓
284,南區,合約醫療院所,林忠立診所,(04)22619948,臺中市南區南和里美村南路58號
285,南區,合約醫療院所,林恆立耳鼻喉科診所,(04)22200602,臺中市南區長榮里復興路三段339號
286,南區,合約醫療院所,南平診所,(04)22630192,臺中市南區福順里南平路167號
287,南區,合約醫療院所,祐強診所,(04)22617128,臺中市南區南和里工學路128號1樓
288,南區,合約醫療院所,康乃文診所,(04)23756986,臺中市南區西川里三民西路232號
